时间,商品名称,库存变化,单笔销量
2026-08-20 17:47:24,GYEHYEON_DIY,初始库存: 5000,0
2026-08-22 21:20:30,GYEHYEON_DIY,5000 -> 4998,2
2026-08-22 21:31:59,GYEHYEON_DIY,4998 -> 4988,10
2026-08-22 21:44:51,GYEHYEON_DIY,4988 -> 4917,71
2026-08-22 22:16:32,GYEHYEON_DIY,4917 -> 4911,6
2026-08-22 22:40:15,GYEHYEON_DIY,4911 -> 4896,15
2026-08-22 22:40:34,GYEHYEON_DIY,4896 -> 4906,-10
2026-08-22 22:56:06,GYEHYEON_DIY,4906 -> 4889,17
2026-08-22 22:57:05,GYEHYEON_DIY,4889 -> 4872,17
2026-08-22 22:58:20,GYEHYEON_DIY,4872 -> 4832,40
2026-08-22 22:59:04,GYEHYEON_DIY,4832 -> 4802,30
2026-08-22 22:59:23,GYEHYEON_DIY,4802 -> 4770,32
2026-08-22 22:59:39,GYEHYEON_DIY,4770 -> 4715,55
2026-08-22 23:00:23,GYEHYEON_DIY,4715 -> 4710,5
2026-08-22 23:00:43,GYEHYEON_DIY,4710 -> 4742,-32
2026-08-22 23:01:03,GYEHYEON_DIY,4742 -> 4774,-32
2026-08-22 23:01:19,GYEHYEON_DIY,4774 -> 4776,-2
2026-08-22 23:02:21,GYEHYEON_DIY,4776 -> 4793,-17
2026-08-22 23:04:38,GYEHYEON_DIY,4793 -> 4815,-22
2026-08-22 23:15:26,GYEHYEON_DIY,4815 -> 4885,-70
