时间,商品名称,库存变化,单笔销量
2026-08-20 17:47:25,KANGMIN_DIY,初始库存: 5000,0
2026-08-22 22:31:06,KANGMIN_DIY,5000 -> 4950,50
2026-08-22 22:31:26,KANGMIN_DIY,4950 -> 4900,50
2026-08-22 22:39:43,KANGMIN_DIY,4900 -> 4889,11
2026-08-22 22:42:19,KANGMIN_DIY,4889 -> 4865,24
2026-08-22 22:45:23,KANGMIN_DIY,4865 -> 4877,-12
2026-08-22 22:51:15,KANGMIN_DIY,4877 -> 4866,11
2026-08-22 22:52:05,KANGMIN_DIY,4866 -> 4851,15
2026-08-22 22:58:04,KANGMIN_DIY,4851 -> 4825,26
2026-08-22 22:58:43,KANGMIN_DIY,4825 -> 4815,10
2026-08-22 23:00:09,KANGMIN_DIY,4815 -> 4827,-12
2026-08-22 23:02:06,KANGMIN_DIY,4827 -> 4838,-11
2026-08-22 23:26:32,KANGMIN_DIY,4838 -> 4853,-15
