时间,商品名称,库存变化,单笔销量
2026-08-20 17:49:56,kkt,初始销量：2500,0
2026-08-20 17:49:56,line,初始销量：2500,0
2026-08-22 14:00:23,kkt,2500->2499,1
2026-08-22 16:46:43,line,2500->2495,5
2026-08-22 19:39:40,kkt,2499->2488,11
2026-08-22 19:55:07,kkt,2488->2499,-11
2026-08-22 21:08:37,kkt,2499->2469,30
2026-08-22 21:13:05,line,2495->2466,29
2026-08-22 22:10:31,kkt,2469->2452,17
2026-08-22 22:35:37,kkt,2452->2441,11
2026-08-22 22:37:26,kkt,2441->2426,15
2026-08-22 22:45:42,line,2466->2460,6
2026-08-22 22:47:32,kkt,2426->2411,15
2026-08-22 22:51:04,kkt,2411->2406,5
2026-08-22 22:53:05,kkt,2406->2404,2
2026-08-22 22:53:46,kkt,2404->2394,10
2026-08-22 22:54:20,kkt,2394->2397,-3
2026-08-22 22:54:55,kkt,2397->2386,11
2026-08-22 22:55:12,kkt,2386->2401,-15
2026-08-22 22:55:29,line,2460->2453,7
2026-08-22 22:58:04,line,2453->2451,2
2026-08-22 23:00:12,kkt,2401->2371,30
2026-08-22 23:00:35,kkt,2371->2369,2
2026-08-22 23:00:55,line,2451->2440,11
2026-08-22 23:02:28,line,2440->2446,-6
