时间,商品名称,库存变化,单笔销量
2026-08-20 17:47:19,VERIVERY线下团签,初始库存: 5000,0
2026-08-20 19:24:37,VERIVERY线下团签,5000 -> 4963,37
2026-08-20 19:32:57,VERIVERY线下团签,4963 -> 4883,80
2026-08-20 23:58:07,VERIVERY线下团签,4883 -> 4882,1
2026-08-20 23:58:57,VERIVERY线下团签,4882 -> 4877,5
2026-08-21 00:02:14,VERIVERY线下团签,4877 -> 4882,-5
2026-08-21 00:15:03,VERIVERY线下团签,4882 -> 4883,-1
2026-08-21 07:14:14,VERIVERY线下团签,4883 -> 4880,3
2026-08-21 09:09:38,VERIVERY线下团签,4880 -> 4846,34
2026-08-21 09:11:09,VERIVERY线下团签,4846 -> 4812,34
2026-08-21 09:12:26,VERIVERY线下团签,4812 -> 4778,34
