时间,商品名称,库存变化,单笔销量
2026-08-20 17:49:56,kkt,初始销量：2500,0
2026-08-20 17:49:56,line,初始销量：2500,0
2026-08-21 02:20:45,kkt,2500->2494,6
2026-08-21 15:01:42,kkt,2494->2489,5
2026-08-22 02:15:47,kkt,2489->2479,10
2026-08-22 15:58:10,kkt,2479->2465,14
2026-08-22 20:23:36,line,2500->2488,12
2026-08-22 21:10:25,line,2488->2463,25
2026-08-22 21:14:52,kkt,2465->2444,21
2026-08-22 21:20:59,line,2463->2449,14
2026-08-22 22:28:45,kkt,2444->2429,15
2026-08-22 22:35:52,line,2449->2442,7
2026-08-22 22:39:29,line,2442->2436,6
2026-08-22 22:50:00,kkt,2429->2414,15
